intProvinceKey,strProvinceName
1,TP. Hà Nội
2,TP. Hồ Chí Minh
3,TP. Hải Phòng
4,TP. Đà Nẵng
5,TP. Cần Thơ
6,Tỉnh An Giang
7,Tỉnh Bà Rịa - Vũng Tàu
8,Tỉnh Bạc Liêu
9,Tỉnh Bắc Kạn
10,Tỉnh Bắc Giang
11,Tỉnh Bắc Ninh
12,Tỉnh Bến Tre
13,Tỉnh Bình Dương
14,Tỉnh Bình Định
15,Tỉnh Bình Phước
16,Tỉnh Bình Thuận
17,Tỉnh Cà Mau
18,Tỉnh Cao Bằng
19,Tỉnh Đắk Lắk
20,Tỉnh Đắk Nông
21,Tỉnh Điện Biên
22,Tỉnh Đồng Nai
23,Tỉnh Đồng Tháp
24,Tỉnh Gia Lai
25,Tỉnh Hà Giang
26,Tỉnh Hà Nam
27,Tỉnh Hà Tĩnh
28,Tỉnh Hải Dương
29,Tỉnh Hậu Giang
30,Tỉnh Hòa Bình
31,Tỉnh Hưng Yên
32,Tỉnh Khánh Hòa
33,Tỉnh Kiên Giang
34,Tỉnh Kon Tum
35,Tỉnh Lai Châu
36,Tỉnh Lạng Sơn
37,Tỉnh Lào Cai
38,Tỉnh Lâm Đồng
39,Tỉnh Long An
40,Tỉnh Nam Định
41,Tỉnh Nghệ An
42,Tỉnh Ninh Bình
43,Tỉnh Ninh Thuận
44,Tỉnh Phú Thọ
45,Tỉnh Phú Yên
46,Tỉnh Quang Bình
47,Tỉnh Quảng Nam
48,Tỉnh Quảng Ngãi
49,Tỉnh Quảng Ninh
50,Tỉnh Quảng Trị
51,Tỉnh Sóc Trăng
52,Tỉnh Sơn La
53,Tỉnh Tây Ninh
54,Tỉnh Thái Bình
55,Tỉnh Thái Nguyên
56,Tỉnh Thanh Hóa
57,Tỉnh Thừa Thiên Huế
58,Tỉnh Tiền Giang
59,Tỉnh Trà Vinh
60,Tỉnh Tuyên Quang
61,Tỉnh Vĩnh Long
62,Tỉnh Vĩnh Phúc
63,Tỉnh Yên Bái
